Model,Accuracy,Precision,Recall,F1 Score,Loss,Time (s)
LSTM,83.33333333333334,84.62454795949378,83.33333333333334,81.59150169894158,0.47313424715628993,0.3002493381500244
GRU,83.33333333333334,84.19330907979,83.33333333333334,82.55434793362019,0.480765632711924,0.49047303199768066
BiLSTM,85.85858585858585,85.71617788529554,85.85858585858585,84.31490747559104,0.3631335416665444,0.5287370681762695
CNN,92.67676767676768,93.13425025657645,92.67676767676768,92.47998495372272,0.22052437640153444,0.08423447608947754
CNN_GRU,86.61616161616162,87.7950542104954,86.61616161616162,86.14715556042145,0.4513824696724231,0.11074018478393555
CNN_BiLSTM,92.17171717171718,92.7158174317265,92.17171717171718,92.06059724570397,0.23538475426343772,0.11273574829101562
